谱信息：
开始时间,20:09:27
测量时间,85.239
死时间,1.003
总计数,250877
通道1道址,通道1计数,通道2道址,通道2计数
1001,5,1001,5
1002,6,1002,6
1003,8,1003,8
1004,8,1004,8
1005,4,1005,4
1006,6,1006,6
1007,12,1007,12
1008,7,1008,7
1009,6,1009,6
1010,7,1010,7
1011,5,1011,5
1012,12,1012,12
1013,4,1013,4
1014,3,1014,3
1015,6,1015,6
1016,8,1016,8
1017,4,1017,4
1018,5,1018,5
1019,10,1019,10
1020,7,1020,7
1021,7,1021,7
1022,6,1022,6
1023,8,1023,8
1024,5,1024,5
1025,11,1025,11
1026,13,1026,13
1027,10,1027,10
1028,8,1028,8
1029,6,1029,6
1030,8,1030,8
1031,3,1031,3
1032,6,1032,6
1033,8,1033,8
1034,5,1034,5
1035,9,1035,9
1036,8,1036,8
1037,5,1037,5
1038,6,1038,6
1039,4,1039,4
1040,9,1040,9
1041,1,1041,1
1042,8,1042,8
1043,7,1043,7
1044,6,1044,6
1045,2,1045,2
1046,4,1046,4
1047,6,1047,6
1048,6,1048,6
1049,5,1049,5
1050,3,1050,3
1051,5,1051,5
1052,8,1052,8
1053,4,1053,4
1054,10,1054,10
1055,6,1055,6
1056,7,1056,7
1057,10,1057,10
1058,4,1058,4
1059,9,1059,9
1060,7,1060,7
1061,3,1061,3
1062,4,1062,4
1063,6,1063,6
1064,6,1064,6
1065,6,1065,6
1066,4,1066,4
1067,8,1067,8
1068,6,1068,6
1069,5,1069,5
1070,11,1070,11
1071,7,1071,7
1072,4,1072,4
1073,4,1073,4
1074,8,1074,8
1075,4,1075,4
1076,5,1076,5
1077,4,1077,4
1078,5,1078,5
1079,3,1079,3
1080,7,1080,7
1081,6,1081,6
1082,10,1082,10
1083,7,1083,7
1084,8,1084,8
1085,8,1085,8
1086,7,1086,7
1087,6,1087,6
1088,6,1088,6
1089,11,1089,11
1090,1,1090,1
1091,5,1091,5
1092,12,1092,12
1093,4,1093,4
1094,4,1094,4
1095,4,1095,4
1096,5,1096,5
1097,7,1097,7
1098,6,1098,6
1099,12,1099,12
1100,6,1100,6
1101,9,1101,9
1102,7,1102,7
1103,7,1103,7
1104,2,1104,2
1105,5,1105,5
1106,4,1106,4
1107,9,1107,9
1108,8,1108,8
1109,9,1109,9
1110,8,1110,8
1111,10,1111,10
1112,9,1112,9
1113,6,1113,6
1114,9,1114,9
1115,4,1115,4
1116,6,1116,6
1117,4,1117,4
1118,8,1118,8
1119,5,1119,5
1120,9,1120,9
1121,4,1121,4
1122,7,1122,7
1123,7,1123,7
1124,7,1124,7
1125,6,1125,6
1126,3,1126,3
1127,8,1127,8
1128,6,1128,6
1129,12,1129,12
1130,8,1130,8
1131,3,1131,3
1132,10,1132,10
1133,8,1133,8
1134,8,1134,8
1135,6,1135,6
1136,4,1136,4
1137,4,1137,4
1138,8,1138,8
1139,7,1139,7
1140,3,1140,3
1141,6,1141,6
1142,10,1142,10
1143,11,1143,11
1144,5,1144,5
1145,15,1145,15
1146,5,1146,5
1147,5,1147,5
1148,8,1148,8
1149,2,1149,2
1150,4,1150,4
1151,7,1151,7
1152,4,1152,4
1153,6,1153,6
1154,8,1154,8
1155,6,1155,6
1156,2,1156,2
1157,10,1157,10
1158,8,1158,8
1159,10,1159,10
1160,9,1160,9
1161,8,1161,8
1162,4,1162,4
1163,8,1163,8
1164,10,1164,10
1165,12,1165,12
1166,8,1166,8
1167,6,1167,6
1168,10,1168,10
1169,5,1169,5
1170,6,1170,6
1171,5,1171,5
1172,6,1172,6
1173,2,1173,2
1174,11,1174,11
1175,6,1175,6
1176,8,1176,8
1177,4,1177,4
1178,5,1178,5
1179,4,1179,4
1180,6,1180,6
1181,9,1181,9
1182,7,1182,7
1183,4,1183,4
1184,4,1184,4
1185,13,1185,13
1186,5,1186,5
1187,4,1187,4
1188,5,1188,5
1189,6,1189,6
1190,7,1190,7
1191,12,1191,12
1192,2,1192,2
1193,7,1193,7
1194,8,1194,8
1195,5,1195,5
1196,7,1196,7
1197,7,1197,7
1198,3,1198,3
1199,8,1199,8
1200,9,1200,9
1201,8,1201,8
1202,8,1202,8
1203,5,1203,5
1204,13,1204,13
1205,8,1205,8
1206,6,1206,6
1207,10,1207,10
1208,3,1208,3
1209,3,1209,3
1210,4,1210,4
